gene_family,Gradient Boosting,Logistic Regression,Random Forest
GF_01961,0.5838305900616406,0.11797346812251089,0.013266315168193574
GF_01199,0.0004332724602752213,0.36715978700282204,0.0008839728930565797
GF_00810,0.0012487395392384872,0.3308945292565785,0.000493976049810335
GF_00387,0.0244139932804252,0.28460466976210774,0.01526057384640869
GF_02390,0.020451763532998248,0.27016220856667755,0.003413703498179121
GF_00943,0.0009746106178243515,0.29099642446137847,0.0010899274796118614
GF_01658,2.2718863767417136e-06,0.2898171767458551,0.0007870450328965415
GF_01071,0.0011959461016528496,0.28814635847208175,9.697113732498551e-05
GF_02403,0.010252024138485688,0.27100647261657806,0.003988529564669332
GF_01253,0.00020364100737994142,0.2796687829247705,0.00034188426235489327
GF_02459,0.00033625640685744574,0.2716289163259737,0.00039281618772830235
GF_02295,0.006363864879788722,0.25751660095484674,2.0935267799191833e-07
GF_00876,0.0007807128016542167,0.2523633328466198,0.0002245676120214422
GF_00680,5.08889782878019e-10,0.24404871709117432,0.00020711670341346357
GF_01245,0.002978164538187747,0.22899505176725704,0.011599877260455254
GF_01635,0.0001431595756441264,0.2344864306151367,0.0007568012169355254
GF_01964,0.0012569968416277428,0.23236663327943674,0.0007342087363266753
GF_00609,0.006754728898360725,0.22484434537005557,0.0007045913157674346
GF_00066,6.746908788328461e-05,0.23150331511203284,0.00044909600057087073
GF_00790,0.004158437423277666,0.22452447297517092,0.0010794742022837275
GF_01600,0.009118443452379252,0.2116302690070117,0.0005323552690856144
GF_01924,4.740799954414571e-06,0.21122699141224127,0.001451939863949543
GF_00624,0.0005515034902823584,0.21143014273071822,0.0002682194866796769
GF_00333,4.046289446725905e-06,0.20236557557992124,0.001184616502929992
GF_01712,1.899574188408527e-07,0.202877336601668,1.7747508962738557e-05
GF_00183,4.706393183787329e-05,0.1937878971961132,0.0003699170854592934
GF_02166,0.014857553604568132,0.16221648268785985,0.016602270536324643
GF_01104,2.5228218769554894e-05,0.19243218794395384,0.0006345991424579489
GF_00099,0.0032189131492286584,0.18609165202147424,0.00021860607449479134
GF_00656,0.0010151453135059585,0.18608081428399603,0.0006201873202040884
