gene_family,importance
GF_01961,0.5838305900616406
GF_00387,0.0244139932804252
GF_02390,0.020451763532998248
GF_00403,0.01825165607551361
GF_02166,0.014857553604568132
GF_00240,0.012914235887615913
GF_01140,0.01279678227807442
GF_00377,0.011216545984685838
GF_00108,0.01068830174679658
GF_02403,0.010252024138485688
GF_01600,0.009118443452379252
GF_02205,0.008767158340653136
GF_00439,0.008440425945224175
GF_00825,0.008408840946538765
GF_00181,0.007189977663832866
GF_01660,0.007183751989862067
GF_00368,0.007041465321902776
GF_01962,0.0068267713548296445
GF_00609,0.006754728898360725
GF_01568,0.006626117374194068
GF_02412,0.006435210746979736
GF_02295,0.006363864879788722
GF_00224,0.006216411602541536
GF_01193,0.005438851629454263
GF_01139,0.004473446514601033
GF_01909,0.004163957046623123
GF_00790,0.004158437423277666
GF_00397,0.0040072907365908675
GF_01858,0.003816315528219833
GF_01960,0.0037978631864270486
GF_01090,0.003741084875340203
GF_00599,0.0036479649595469767
GF_00099,0.0032189131492286584
GF_02131,0.0031753159371796986
GF_01245,0.002978164538187747
GF_00407,0.002977097670914281
GF_00355,0.00290184609740392
GF_00147,0.0027109338862401655
GF_02360,0.0027042320551672757
GF_00401,0.0027034047233582274
GF_02217,0.002542307877874254
GF_01668,0.002405653336088499
GF_00691,0.0021883672991852266
GF_01664,0.002118235666412043
GF_00746,0.002116860985964094
GF_01647,0.002094430975075434
GF_01661,0.0019437744481650364
GF_01596,0.0017513404439910586
GF_02449,0.0017256307668670607
GF_01507,0.0016393623153015797
GF_01500,0.0016194970113974025
GF_01872,0.0015911765973981484
GF_01566,0.0015637412842310697
GF_02206,0.0015626749669101294
GF_00265,0.001557907558149044
GF_02439,0.0015097985765110528
GF_02514,0.0014871021247566656
GF_00575,0.0014592446798593047
GF_00185,0.0013853281309129293
GF_02107,0.001380228382143104
GF_01905,0.001340412929597945
GF_00942,0.001315353524378005
GF_00209,0.0013018227396351452
GF_01964,0.0012569968416277428
GF_00810,0.0012487395392384872
GF_00984,0.0012473532193622368
GF_01071,0.0011959461016528496
GF_01963,0.0011549986124211157
GF_00137,0.001148078616161194
GF_00670,0.0011422355754530356
GF_00367,0.00112410651470047
GF_02373,0.0011233567987601928
GF_02135,0.001119648832108792
GF_01903,0.0011049119594648688
GF_00334,0.0010880254268210848
GF_02371,0.001036988950272328
GF_00656,0.0010151453135059585
GF_00943,0.0009746106178243515
GF_02376,0.0009398052354808482
GF_01333,0.0009370106298196592
GF_00600,0.0009229139838138259
GF_02435,0.0009017943548890633
GF_01969,0.0008987852000030101
GF_02019,0.0008883174118215322
GF_01672,0.000887073664041335
GF_00608,0.0008709855244937986
GF_01508,0.000864208373470275
GF_00598,0.000854618790535276
GF_01158,0.0008354932394022616
GF_00402,0.0008228690116386498
GF_01742,0.0008220382192884754
GF_00266,0.0008140814288256391
GF_01560,0.000813694839193244
GF_00629,0.0007956496918255758
GF_00876,0.0007807128016542167
GF_01968,0.0007776668082281836
GF_00830,0.0007376037676068961
GF_01005,0.0007324984654503324
GF_00801,0.0007131167160834992
GF_01089,0.0007081121099329139
GF_01959,0.0006990673754887472
GF_00505,0.0006968856545015152
GF_01220,0.0006738603400043093
GF_01058,0.0006725598727565205
GF_00891,0.0006718321901369201
GF_01606,0.0006372889080525206
GF_00435,0.0006218721983543203
GF_00628,0.0005922385142525466
GF_00872,0.0005891201253854769
GF_00981,0.0005816863632895936
GF_02466,0.000579634926026208
GF_01931,0.0005789420412548708
GF_01912,0.0005762169871036212
GF_00451,0.0005681468758086856
GF_01819,0.0005624860200863815
GF_00853,0.0005614656159730958
GF_01720,0.000559371662478021
GF_00624,0.0005515034902823584
GF_00663,0.0005398354788275019
GF_02214,0.000536066987863214
GF_01142,0.0005339328825633593
GF_01906,0.0005308874874371286
GF_02517,0.0005262295278407605
GF_01198,0.0005236812230169148
GF_02075,0.000520681789173767
GF_00365,0.0004894718707712343
GF_01855,0.0004706196824284781
GF_00675,0.00046806793660616515
GF_00941,0.0004551842762543128
GF_00354,0.00045389537112839365
GF_01199,0.0004332724602752213
GF_00206,0.00042474394429400746
GF_02433,0.0004025740942307813
GF_00631,0.00038693497130200326
GF_00957,0.00038389938114951927
GF_01670,0.0003807126953473116
GF_02112,0.0003797068314524212
GF_01767,0.0003777394878562728
GF_01818,0.00037109821556499044
GF_00806,0.00036454430265988843
GF_01935,0.0003534420199497716
GF_01087,0.00035231771197535616
GF_01813,0.00035031836594398303
GF_00644,0.000342128983441041
GF_02459,0.00033625640685744574
GF_00992,0.00033017878133843393
GF_00616,0.0003288591033436679
GF_00591,0.0003252729076563214
GF_01122,0.000320133228792091
GF_00457,0.0003158829248300302
GF_02212,0.0003106642252051219
GF_02374,0.00030894018574246205
GF_01532,0.00030852307023867566
GF_00935,0.0003013275388973139
GF_00201,0.0002995595999599628
GF_00707,0.00029386994674739347
GF_01160,0.00029020588028505907
GF_01650,0.00028936254879556936
GF_01138,0.0002880411629838309
GF_02136,0.00028727821645106207
GF_01657,0.00028609437695676715
GF_02448,0.0002835233923661612
GF_00450,0.00028325345160732816
GF_01237,0.00028300819364833333
GF_00494,0.000279561226751242
GF_00330,0.0002636501095566844
GF_00220,0.0002620638432564163
GF_00700,0.0002603183350769762
GF_00406,0.00025584238782842464
GF_00824,0.0002556051781046608
GF_01823,0.0002521456154116459
GF_02379,0.00025175471560127743
GF_01598,0.0002479004226559724
GF_01825,0.0002458241107254948
GF_00052,0.0002445970067240679
GF_01012,0.00024222403802375518
GF_00508,0.00024064786070555536
GF_00643,0.00023983854956421326
GF_00558,0.00023943100556246262
GF_00792,0.00023837992512023513
GF_00178,0.0002372484449621846
GF_02017,0.00023522065637609694
GF_01965,0.00023361200279087207
GF_01236,0.00023133817897801767
GF_01553,0.0002287798950517727
GF_01032,0.00022426374221342122
GF_00946,0.00021491208181221764
GF_01576,0.00021355444152852806
GF_02523,0.00021120984282407446
GF_02111,0.00021038727860319184
GF_00739,0.00020905303581452862
GF_00866,0.00020610492037495103
GF_02440,0.00020380078158787682
