accuracy,precision,recall,f1,roc_auc,model
0.9569377990430622,1.0,0.6538461538461539,0.7906976744186046,0.9663724253888188,Random Forest
0.5625,0.40476190476190477,0.85,0.5483870967741935,0.8670454545454546,Random Forest
0.8153846153846154,0.875,0.3888888888888889,0.5384615384615384,0.9444444444444444,Random Forest
0.8873239436619719,0.9512195121951219,0.8666666666666667,0.9069767441860465,0.911111111111111,Random Forest
0.625,0.6206896551724138,0.8181818181818182,0.7058823529411765,0.8131313131313131,Random Forest
