gene_family,n_members,n_genomes,n_diazotroph,n_non_diazo,n_genera,frac_diazotroph
GF_00129,71,71,69,2,16,0.971830985915493
GF_00130,56,56,55,1,13,0.9821428571428571
GF_00131,85,85,81,4,21,0.9529411764705882
GF_00132,54,54,53,1,13,0.9814814814814815
GF_00133,70,70,59,11,20,0.8428571428571429
GF_00134,63,63,3,60,10,0.047619047619047616
GF_00135,77,77,75,2,18,0.974025974025974
GF_00136,129,129,95,34,40,0.7364341085271318
GF_00137,119,119,102,17,40,0.8571428571428571
GF_00138,84,84,82,2,19,0.9761904761904762
GF_00139,79,79,62,17,27,0.7848101265822784
GF_00140,89,89,77,12,23,0.8651685393258427
GF_00141,86,86,84,2,20,0.9767441860465116
GF_00142,80,80,76,4,21,0.95
GF_00143,121,119,52,69,35,0.4297520661157025
GF_00144,87,87,84,3,23,0.9655172413793104
GF_00145,108,108,22,86,24,0.2037037037037037
GF_00146,41,41,16,25,19,0.3902439024390244
GF_00147,232,232,120,112,61,0.5172413793103449
GF_00148,122,122,39,83,35,0.319672131147541
GF_00149,139,139,100,39,41,0.7194244604316546
GF_00150,177,177,88,89,42,0.4971751412429379
GF_00151,63,63,62,1,14,0.9841269841269841
GF_00152,44,44,43,1,9,0.9772727272727273
GF_00153,78,78,76,2,18,0.9743589743589743
GF_00154,56,56,55,1,11,0.9821428571428571
GF_00155,98,98,89,9,31,0.9081632653061225
GF_00156,42,42,41,1,8,0.9761904761904762
GF_00157,44,44,43,1,12,0.9772727272727273
GF_00158,47,47,46,1,10,0.9787234042553191
GF_00159,43,43,42,1,9,0.9767441860465116
GF_00160,44,44,43,1,10,0.9772727272727273
GF_00161,71,71,69,2,15,0.971830985915493
GF_00162,70,70,68,2,13,0.9714285714285714
GF_00163,84,84,82,2,19,0.9761904761904762
GF_00164,78,78,76,2,19,0.9743589743589743
GF_00165,46,46,45,1,9,0.9782608695652174
GF_00166,49,49,48,1,10,0.9795918367346939
GF_00167,48,48,47,1,9,0.9791666666666666
GF_00168,47,47,46,1,9,0.9787234042553191
GF_00169,53,53,52,1,11,0.9811320754716981
GF_00170,41,41,6,35,6,0.14634146341463414
GF_00171,91,91,85,6,24,0.9340659340659341
GF_00172,82,82,49,33,38,0.5975609756097561
GF_00173,154,154,108,46,51,0.7012987012987013
GF_00174,108,108,19,89,26,0.17592592592592593
GF_00175,59,59,49,10,22,0.8305084745762712
GF_00176,108,108,72,36,33,0.6666666666666666
GF_00177,202,175,133,69,46,0.6584158415841584
GF_00178,218,217,110,108,57,0.5045871559633027
GF_00179,96,91,88,8,24,0.9166666666666666
GF_00180,107,103,106,1,38,0.9906542056074766
GF_00181,43,43,12,31,16,0.27906976744186046
GF_00182,43,43,13,30,17,0.3023255813953488
GF_00183,62,61,14,48,13,0.22580645161290322
GF_00184,134,134,88,46,32,0.6567164179104478
GF_00185,62,62,25,37,25,0.4032258064516129
GF_00186,74,74,50,24,25,0.6756756756756757
GF_00187,145,145,104,41,45,0.7172413793103448
GF_00188,86,86,82,4,21,0.9534883720930233
GF_00189,72,72,70,2,16,0.9722222222222222
GF_00190,56,56,55,1,12,0.9821428571428571
GF_00191,70,70,68,2,16,0.9714285714285714
GF_00192,40,40,39,1,9,0.975
GF_00193,43,43,42,1,9,0.9767441860465116
GF_00194,63,63,61,2,12,0.9682539682539683
GF_00195,64,64,63,1,17,0.984375
GF_00196,247,247,113,134,71,0.4574898785425101
GF_00197,51,51,50,1,15,0.9803921568627451
GF_00198,45,45,44,1,10,0.9777777777777777
GF_00199,72,72,64,8,20,0.8888888888888888
GF_00200,53,53,12,41,9,0.22641509433962265
GF_00201,59,59,14,45,12,0.23728813559322035
GF_00202,55,55,45,10,16,0.8181818181818182
GF_00203,63,63,62,1,13,0.9841269841269841
GF_00204,70,70,68,2,15,0.9714285714285714
GF_00205,45,45,43,2,10,0.9555555555555556
GF_00206,115,115,89,26,32,0.7739130434782608
GF_00207,450,448,133,317,81,0.29555555555555557
GF_00208,100,100,86,14,29,0.86
GF_00209,54,54,45,9,21,0.8333333333333334
GF_00210,130,130,32,98,40,0.24615384615384617
GF_00211,42,42,27,15,18,0.6428571428571429
GF_00212,126,126,102,24,40,0.8095238095238095
GF_00213,116,111,44,72,37,0.3793103448275862
GF_00214,44,44,43,1,12,0.9772727272727273
GF_00215,61,61,58,3,18,0.9508196721311475
GF_00216,40,40,21,19,20,0.525
GF_00217,97,97,85,12,35,0.8762886597938144
GF_00218,161,161,104,57,47,0.6459627329192547
GF_00219,45,45,4,41,14,0.08888888888888889
GF_00220,50,50,6,44,16,0.12
GF_00221,64,63,51,13,25,0.796875
GF_00222,79,79,76,3,19,0.9620253164556962
GF_00223,54,54,53,1,14,0.9814814814814815
GF_00224,243,242,122,121,66,0.5020576131687243
GF_00225,143,143,91,52,38,0.6363636363636364
GF_00226,72,72,70,2,15,0.9722222222222222
GF_00227,58,58,56,2,12,0.9655172413793104
GF_00228,78,78,76,2,19,0.9743589743589743
GF_00229,46,46,45,1,11,0.9782608695652174
GF_00230,77,77,75,2,17,0.974025974025974
GF_00231,47,47,10,37,11,0.2127659574468085
GF_00232,84,84,79,5,21,0.9404761904761905
GF_00233,41,41,41,0,9,1.0
GF_00234,74,74,72,2,17,0.972972972972973
GF_00235,71,71,69,2,15,0.971830985915493
GF_00236,44,44,43,1,10,0.9772727272727273
GF_00237,145,145,81,64,38,0.5586206896551724
GF_00238,138,138,94,44,46,0.6811594202898551
GF_00239,111,111,89,22,28,0.8018018018018018
GF_00240,95,95,85,10,23,0.8947368421052632
GF_00241,79,79,70,9,19,0.8860759493670886
GF_00242,47,47,46,1,10,0.9787234042553191
GF_00243,41,41,40,1,8,0.975609756097561
GF_00244,43,43,43,0,10,1.0
GF_00245,41,41,40,1,7,0.975609756097561
GF_00246,70,70,67,3,18,0.9571428571428572
GF_00247,47,47,46,1,10,0.9787234042553191
GF_00248,48,48,47,1,12,0.9791666666666666
GF_00249,47,47,46,1,9,0.9787234042553191
GF_00250,71,71,69,2,17,0.971830985915493
GF_00251,65,65,63,2,13,0.9692307692307692
GF_00252,66,66,65,1,16,0.9848484848484849
GF_00253,47,47,46,1,10,0.9787234042553191
GF_00254,50,50,49,1,11,0.98
GF_00255,53,53,52,1,14,0.9811320754716981
GF_00256,49,49,48,1,11,0.9795918367346939
GF_00257,41,41,40,1,9,0.975609756097561
GF_00258,52,52,51,1,14,0.9807692307692307
GF_00259,42,42,42,0,8,1.0
GF_00260,83,83,81,2,19,0.9759036144578314
GF_00261,51,51,51,0,12,1.0
GF_00262,48,48,47,1,10,0.9791666666666666
