Model,accuracy,precision,recall,f1,roc_auc
Random Forest,0.7694 +/- 0.1694,0.7703 +/- 0.2512,0.7155 +/- 0.2012,0.6981 +/- 0.1582,0.9004 +/- 0.0615
Gradient Boosting,0.7345 +/- 0.2002,0.6947 +/- 0.2200,0.7412 +/- 0.1300,0.6899 +/- 0.1413,0.8383 +/- 0.1276
Logistic Regression,0.8126 +/- 0.1312,0.7616 +/- 0.1957,0.7756 +/- 0.1095,0.7480 +/- 0.1158,0.8888 +/- 0.0526
